method,horizon,mae,rmse,mae_vs_baseline,rmse_vs_baseline
baseline,1,385.06468426629874,1058.637159477816,0.0,0.0
baseline,2,331.0931344201448,877.9768610179141,0.0,0.0
baseline,3,287.1041362662987,728.0510758628091,0.0,0.0
baseline,4,259.58415388168333,659.2290842604275,0.0,0.0
avg,1,401.75422306437565,1130.9053845492988,16.68953879807691,72.26822507148268
avg,2,332.31501251629874,894.2378705684479,1.2218780961539437,16.2610095505338
avg,3,269.93050792014486,681.2781072504879,-17.173628346153862,-46.772968612321165
avg,4,221.51258917014488,525.0824250238509,-38.07156471153846,-134.14665923657662
wae_mse,1,403.2224378481114,1136.1360288163457,18.157753581812642,77.49886933852963
wae_mse,2,335.4511911025807,904.5115214048037,4.358056682435915,26.53466038688964
wae_mse,3,275.5215478171964,700.2775062501877,-11.582588449102332,-27.773569612621372
wae_mse,4,234.06942986759225,570.6854305671319,-25.514724014091087,-88.5436536932956
wae_rmse,1,402.51050119355557,1133.573599846085,17.44581692725683,74.9364403682689
wae_rmse,2,333.8870584378498,899.4050492399358,2.7939240177050237,21.42818822202173
wae_rmse,3,272.80317986597345,691.0244915719131,-14.300956400325276,-37.026584290895926
wae_rmse,4,227.70798574949885,547.442267623354,-31.87616813218449,-111.78681663707346
lr_stack,1,410.3626197724255,1162.1708821071593,25.29793550612675,103.53372262934317
lr_stack,2,325.41494078442975,874.1737827268983,-5.678193635715047,-3.8030782910158223
lr_stack,3,143.93711821495228,246.23032006384017,-143.16701805134645,-481.8207557989689
lr_stack,4,389.2555649051676,1049.0645931581191,129.67141102348427,389.8355088976916
svr_stack,1,130.17853165750037,332.8292202651646,-254.88615260879837,-725.8079392126515
svr_stack,2,130.6644987567887,333.967596896491,-200.4286356633561,-544.009264121423
svr_stack,3,131.16425154102527,334.0865217809239,-155.93988472527346,-393.9645540818852
svr_stack,4,131.2563325841412,334.52101344034753,-128.32782129754213,-324.70807082007997
